"WOCHENTAG;""DATUM"";""VON"";""BIS"";""DAUER_IN_MINUTEN"";""LV_NUMMER"";""TITEL"";""LV_ART"";""LV_GRUPPE"";""ORT"";""LERNEINHEIT"";""UNTERRICHTSEINHEIT"";""EREIGNIS_TYP"";""TERMIN_TYP"";""VORTRAGENDER_KONTAKTPERSON"";""ANMERKUNG"";""INTERNE_BEMERKUNG""",
"DI;""28.04.2026"";""14:00"";""18:00"";""240"";"""";""AEyeCoL Data Collection"";"""";"""";""141"," Seminarraum (2907.01.141)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"MI;""29.04.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""142"," Seminarraum (2907.01.142)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""30.04.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"DO;""30.04.2026"";""14:00"";""20:00"";""360"";"""";""AEyeCoL data collection"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"FR;""01.05.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"MO;""04.05.2026"";""11:30"";""18:00"";""390"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"DI;""05.05.2026"";""11:00"";""14:00"";""180"";"""";""TUM EdTech Centre Conference"";"""";"""";""605"," Hörsaal (2907.06.605)"";"""";"""";""kein Ereignistyp"";""geplant"";"""";"""";"""""
"DI;""05.05.2026"";""15:30"";""18:00"";""150"";"""";""AEyeCoL Data Collection"";"""";"""";""142"," Seminarraum (2907.01.142)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"MI;""06.05.2026"";""11:30"";""14:00"";""150"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"MI;""06.05.2026"";""14:30"";""18:00"";""210"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"DO;""07.05.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"DO;""07.05.2026"";""15:00"";""19:30"";""270"";"""";""AEyeCoL Data Collection"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"FR;""08.05.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""08.05.2026"";""10:00"";""17:00"";""420"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""mingcong ding"";"""";"""""
"MO;""11.05.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""12.05.2026"";""16:00"";""19:00"";""180"";"""";""AEyeCoL Data Collection"";"""";"""";""142"," Seminarraum (2907.01.142)"";"""";"""";""kein Ereignistyp"";""fix"";""Mingcong Ding"";"""";"""""
"MI;""13.05.2026"";""14:30"";""18:00"";""210"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
